                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 2.0079,                 1.2607,                 1.0264,                   0.75,                0.62456,                0.62089,                0.23951,                 2.1537,                 1.1813,                 1.0252,              0.0086536,              0.0086536,              0.0086536
                     70,                 2.2394,                 1.2831,                0.97126,                   0.75,                0.62456,                0.62089,                0.23951,                 2.1537,                 1.1813,                 1.0252,              0.0086338,              0.0086338,              0.0086338
                     71,                  2.021,                 1.3016,                 1.0136,                 0.6611,                0.62884,                0.59245,                0.25978,                 1.9149,                 1.1103,                 1.0075,               0.008614,               0.008614,               0.008614
                     72,                 1.8711,                 1.2248,                 1.0026,                0.68961,                0.65968,                0.65135,                0.26839,                 1.9399,                 1.0816,                 1.0129,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.9402,                 1.2306,                0.96385,                0.65832,                0.68831,                0.67369,                0.27413,                 1.9516,                  1.253,                  1.028,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.9297,                 1.2825,                  1.022,                0.65832,                0.68831,                0.67369,                0.27413,                 1.9516,                  1.253,                  1.028,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.8982,                 1.1999,                 0.9655,                0.80351,                 0.6569,                0.71107,                0.30132,                 1.9618,                 1.0919,                 1.0135,              0.0085348,              0.0085348,              0.0085348
                     76,                 2.0428,                 1.2479,                 1.0487,                0.46552,                0.57114,                0.56733,                0.22009,                 2.1454,                 1.1654,                 1.0367,               0.008515,               0.008515,               0.008515
                     77,                  2.237,                 1.3082,                0.99081,                0.69573,                0.59084,                0.62968,                 0.3046,                 1.9626,                 1.1244,                 1.0185,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.9532,                 1.2294,                0.99888,                0.69573,                0.59084,                0.62968,                 0.3046,                 1.9626,                 1.1244,                 1.0185,              0.0084754,              0.0084754,              0.0084754
                     79,                  1.872,                  1.196,                0.99226,                 0.7526,                 0.6172,                0.66697,                0.27965,                 1.9503,                 1.0757,                 1.0179,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.9373,                 1.2473,                0.98621,                0.72482,                0.56152,                0.64078,                0.24701,                 2.0911,                 1.2555,                 1.0193,              0.0084358,              0.0084358,              0.0084358
                     81,                 2.0371,                 1.2869,                 1.0429,                0.89525,                0.71146,                0.78082,                0.35203,                 1.9245,                 1.0089,                 1.0104,               0.008416,               0.008416,               0.008416
                     82,                 2.1134,                 1.1487,                0.98669,                0.89525,                0.71146,                0.78082,                0.35203,                 1.9245,                 1.0089,                 1.0104,              0.0083962,              0.0083962,              0.0083962
                     83,                 2.0281,                 1.1953,                0.97188,                0.86352,                0.64653,                0.71141,                0.26614,                 2.0826,                 1.0976,                 1.0206,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.9599,                 1.1323,                0.98715,                0.71569,                0.72209,                0.79184,                0.33879,                 1.9116,                0.96949,                 1.0067,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.9924,                 1.1426,                 1.0049,                0.86607,                0.63576,                0.72828,                0.27424,                  2.085,                 1.0854,                 1.0267,              0.0083368,              0.0083368,              0.0083368
                     86,                 2.0019,                 1.1932,                   1.01,                0.86607,                0.63576,                0.72828,                0.27424,                  2.085,                 1.0854,                 1.0267,               0.008317,               0.008317,               0.008317
                     87,                 2.0555,                 1.1969,                0.99464,                0.93919,                0.73025,                0.80672,                0.35278,                 1.8903,                0.99581,                0.99722,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.9868,                 1.1883,                0.98795,                0.85593,                0.66835,                0.72595,                0.28882,                 2.0472,                 1.0995,                 1.0099,              0.0082774,              0.0082774,              0.0082774
                     89,                 2.0015,                 1.1965,                0.99438,                0.74568,                0.70263,                0.75288,                0.33653,                 1.8852,                 1.0011,                0.99377,              0.0082576,              0.0082576,              0.0082576
                     90,                 2.0451,                 1.2119,                 1.0209,                0.74568,                0.70263,                0.75288,                0.33653,                 1.8852,                 1.0011,                0.99377,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.8886,                 1.1977,                0.98102,                0.65618,                0.65331,                0.70862,                0.31794,                 1.9288,                 1.1066,                 1.0002,               0.008218,               0.008218,               0.008218
                     92,                 2.0184,                 1.2163,                0.96684,                 0.7361,                0.70549,                0.72767,                0.30621,                 1.9436,                 1.0432,                0.99171,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.9355,                 1.1208,                0.99738,                0.75279,                0.74002,                0.76686,                 0.3225,                 1.9599,                0.98629,                 1.0038,              0.0081784,              0.0081784,              0.0081784
                     94,                 2.0974,                 1.1565,                0.99653,                0.75279,                0.74002,                0.76686,                 0.3225,                 1.9599,                0.98629,                 1.0038,              0.0081586,              0.0081586,              0.0081586
                     95,                   2.04,                 1.1141,                0.97703,                0.77231,                0.76622,                0.79273,                0.35464,                 1.8208,                0.96428,                0.99027,              0.0081388,              0.0081388,              0.0081388
                     96,                 2.0166,                 1.1441,                0.99138,                0.66066,                0.66499,                0.66615,                0.23477,                 2.1162,                 1.2143,                 1.0134,               0.008119,               0.008119,               0.008119
                     97,                 2.1021,                 1.2474,                0.98811,                 0.7567,                0.82229,                0.79523,                0.34865,                 1.8263,                0.96685,                0.98521,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.9692,                 1.1034,                 0.9805,                 0.7567,                0.82229,                0.79523,                0.34865,                 1.8263,                0.96685,                0.98521,              0.0080794,              0.0080794,              0.0080794
                     99,                 2.0362,                  1.222,                0.99386,                0.69252,                0.69554,                0.71263,                0.26886,                 2.0219,                 1.1643,                 1.0058,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.9181,                 1.1198,                0.95121,                0.77923,                0.75851,                0.81337,                0.35329,                 1.8383,                0.98442,                0.98874,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.8995,                 1.1049,                0.96704,                0.71979,                0.70617,                0.74365,                0.30391,                 1.9297,                 1.1179,                0.99107,                0.00802,                0.00802,                0.00802
                    102,                 1.9185,                  1.148,                0.97011,                0.71979,                0.70617,                0.74365,                0.30391,                 1.9297,                 1.1179,                0.99107,              0.0080002,              0.0080002,              0.0080002
                    103,                 2.0785,                 1.1661,                0.98201,                 0.7335,                0.71804,                0.74986,                0.32214,                 1.9479,                 1.0013,                0.99984,              0.0079804,              0.0079804,              0.0079804
                    104,                 2.0377,                 1.1038,                0.99507,                0.78257,                0.75402,                  0.822,                0.35563,                 1.9399,                0.99087,                0.99234,              0.0079606,              0.0079606,              0.0079606
                    105,                 2.1148,                 1.1177,                0.95701,                0.92606,                0.71874,                0.75129,                0.31762,                 1.9545,                0.98591,                 1.0056,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.8156,                 1.0692,                0.97644,                0.92606,                0.71874,                0.75129,                0.31762,                 1.9545,                0.98591,                 1.0056,               0.007921,               0.007921,               0.007921
                    107,                 1.9772,                 1.1332,                0.95578,                0.76018,                0.80105,                0.82065,                0.37406,                 1.8888,                0.95137,                0.99338,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.9206,                 1.1241,                 1.0081,                0.74766,                0.75205,                0.75643,                0.34532,                 1.8953,                0.98536,                0.99622,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.8655,                 1.0796,                0.98086,                0.93146,                0.81079,                  0.813,                0.37494,                 1.8886,                0.94175,                0.98537,              0.0078616,              0.0078616,              0.0078616
                    110,                 2.0279,                 1.1017,                0.98583,                0.93146,                0.81079,                  0.813,                0.37494,                 1.8886,                0.94175,                0.98537,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.8443,                 1.0829,                0.98095,                0.69569,                0.76429,                0.73574,                0.33802,                  1.925,                0.98757,                0.99444,               0.007822,               0.007822,               0.007822
                    112,                   2.06,                 1.1929,                0.97236,                0.83539,                0.71724,                0.71919,                0.25777,                 2.3023,                 1.1611,                 1.0427,              0.0078022,              0.0078022,              0.0078022
                    113,                  2.122,                 1.2157,                0.99537,                0.92505,                0.79835,                0.79721,                0.34629,                 1.9181,                 1.0107,                0.99301,              0.0077824,              0.0077824,              0.0077824
                    114,                   1.92,                 1.1292,                0.93381,                0.92505,                0.79835,                0.79721,                0.34629,                 1.9181,                 1.0107,                0.99301,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.8267,                 1.1127,                0.94255,                0.90579,                0.76158,                  0.791,                0.36112,                 1.8584,                  1.052,                0.98508,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.9263,                 1.1144,                0.95662,                0.71615,                0.77694,                0.77746,                0.32371,                 1.9657,                0.99627,                0.99141,               0.007723,               0.007723,               0.007723
                    117,                 1.9626,                 1.0917,                0.95183,                0.75661,                0.79568,                0.81413,                0.35478,                 1.9152,                0.93175,                0.99057,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.9554,                 1.0979,                0.98065,                0.75661,                0.79568,                0.81413,                0.35478,                 1.9152,                0.93175,                0.99057,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.9339,                  1.058,                0.96212,                0.76425,                0.77666,                0.80843,                0.33169,                 1.9907,                0.95417,                0.99475,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.9427,                 1.0816,                0.95851,                0.71966,                0.76151,                0.76244,                0.34182,                 1.8534,                0.92999,                0.98379,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.9078,                  1.066,                0.96591,                0.76029,                0.78245,                0.81617,                0.35914,                 1.8906,                0.88961,                0.98387,               0.007624,               0.007624,               0.007624
